	AM_refseq_aegilops_tauschii	AM_refseq_ananas_comosus	AM_refseq_asparagus_officinalis	AM_refseq_brachypodium_distachyon	AM_refseq_cajanus_cajan	AM_refseq_capsicum_annuum	AM_refseq_carica_papaya	AM_refseq_cicer_arietinum	AM_refseq_cucumis_melo	AM_refseq_daucus_carota	AM_refseq_fragaria_vesca	AM_refseq_gossypium_arboreum	AM_refseq_helianthus_annuus	AM_refseq_hevea_brasiliensis	AM_refseq_lactuca_sativa	AM_refseq_manihot_esculenta	AM_refseq_medicago_truncatula	AM_refseq_musa_acuminata	AM_refseq_nicotiana_tabacum	AM_refseq_olea_europaea	AM_refseq_phaseolus_vulgaris	AM_refseq_phoenix_dactylifera	AM_refseq_prunus_persica	AM_refseq_ricinus_communis	AM_refseq_sesamum_indicum	AM_refseq_setaria_italica	AM_refseq_solanum_lycopersicum	AM_refseq_sorghum_bicolor	AM_refseq_theobroma_cacao	AM_refseq_vigna_radiata	AM_refseq_vitis_vinifera	AM_refseq_zea_mays	NM_refseq_arabidopsis_lyrata	NM_refseq_arabidopsis_thaliana	NM_refseq_beta_vulgaris	NM_refseq_brassica_rapa	NM_refseq_capsella_rubella	NM_refseq_eutrema_salsugineum	NM_refseq_lupinus_angustifolius	NM_refseq_nelumbo_nucifera	NM_refseq_spinacia_oleracea	NM_refseq_tarenaya_hassleriana
AM_refseq_aegilops_tauschii	14270	11356	10671	13259	10962	10825	10610	10890	10677	10920	10960	11043	10939	11078	10908	10951	10921	11095	11080	10871	10931	11207	10997	11000	10865	12991	10872	13064	11032	10898	11066	12439	10720	10702	10590	10653	10621	10608	10758	10982	10667	10688
AM_refseq_ananas_comosus	11356	12358	10939	11276	11240	11100	10897	11163	10960	11186	11259	11331	11146	11398	11163	11261	11185	11442	11365	11121	11215	11596	11317	11326	11163	11294	11165	11358	11360	11182	11423	10987	10967	10962	10813	10888	10865	10847	11024	11342	10863	10954
AM_refseq_asparagus_officinalis	10671	10939	12088	10584	10856	10735	10494	10742	10549	10844	10852	10901	10835	10988	10804	10853	10779	10913	11026	10826	10798	11061	10904	10891	10758	10589	10754	10649	10900	10749	10987	10332	10578	10538	10507	10559	10519	10524	10673	10891	10513	10629
AM_refseq_brachypodium_distachyon	13259	11276	10584	13695	10875	10736	10537	10816	10628	10848	10878	10957	10799	10991	10819	10887	10847	11042	10958	10747	10855	11122	10926	10933	10818	12822	10780	12899	10962	10816	10985	12297	10649	10628	10519	10583	10556	10543	10676	10922	10586	10624
AM_refseq_cajanus_cajan	10962	11240	10856	10875	13193	11569	11425	12177	11458	11663	11826	11896	11666	11990	11630	11822	12236	11217	11905	11677	12454	11421	11891	11890	11637	10867	11636	10942	11892	12409	11930	10654	11405	11390	11225	11346	11291	11277	11951	11663	11278	11404
AM_refseq_capsicum_annuum	10825	11100	10735	10736	11569	13330	11218	11501	11264	11647	11583	11701	11610	11777	11598	11613	11510	11041	12762	11717	11546	11267	11653	11672	11666	10728	12368	10808	11706	11510	11752	10508	11273	11268	11129	11212	11153	11149	11354	11501	11139	11241
AM_refseq_carica_papaya	10610	10897	10494	10537	11425	11218	12361	11288	11075	11298	11415	11556	11293	11595	11263	11431	11324	10891	11562	11339	11391	11092	11502	11532	11281	10547	11274	10607	11577	11344	11591	10325	11161	11168	10868	11087	11044	11026	11144	11334	10890	11141
AM_refseq_cicer_arietinum	10890	11163	10742	10816	12177	11501	11288	12806	11389	11555	11739	11796	11519	11861	11556	11713	12297	11114	11781	11534	12175	11301	11797	11793	11550	10816	11557	10878	11808	12092	11812	10555	11345	11326	11162	11277	11239	11216	11867	11566	11198	11333
AM_refseq_cucumis_melo	10677	10960	10549	10628	11458	11264	11075	11389	11948	11353	11464	11536	11311	11579	11335	11457	11388	10925	11492	11283	11427	11096	11549	11513	11344	10635	11313	10685	11570	11416	11551	10369	11138	11113	10923	11063	11038	11021	11221	11344	10975	11134
AM_refseq_daucus_carota	10920	11186	10844	10848	11663	11647	11298	11555	11353	12693	11716	11776	11750	11847	11736	11708	11601	11159	11928	11670	11623	11379	11770	11754	11681	10854	11680	10922	11798	11587	11868	10619	11343	11323	11210	11267	11221	11229	11403	11585	11240	11309
