,AM_refseq_aegilops_tauschii,AM_refseq_ananas_comosus,AM_refseq_asparagus_officinalis,AM_refseq_brachypodium_distachyon,AM_refseq_cajanus_cajan,AM_refseq_capsicum_annuum,AM_refseq_carica_papaya,AM_refseq_cicer_arietinum,AM_refseq_cucumis_melo,AM_refseq_daucus_carota,AM_refseq_fragaria_vesca,AM_refseq_gossypium_arboreum,AM_refseq_helianthus_annuus,AM_refseq_hevea_brasiliensis,AM_refseq_lactuca_sativa,AM_refseq_manihot_esculenta,AM_refseq_medicago_truncatula,AM_refseq_musa_acuminata,AM_refseq_nicotiana_tabacum,AM_refseq_olea_europaea,AM_refseq_phaseolus_vulgaris,AM_refseq_phoenix_dactylifera,AM_refseq_prunus_persica,AM_refseq_ricinus_communis,AM_refseq_sesamum_indicum,AM_refseq_setaria_italica,AM_refseq_solanum_lycopersicum,AM_refseq_sorghum_bicolor,AM_refseq_theobroma_cacao,AM_refseq_vigna_radiata,AM_refseq_vitis_vinifera,AM_refseq_zea_mays,NM_refseq_arabidopsis_lyrata,NM_refseq_arabidopsis_thaliana,NM_refseq_beta_vulgaris,NM_refseq_brassica_rapa,NM_refseq_capsella_rubella,NM_refseq_eutrema_salsugineum,NM_refseq_lupinus_angustifolius,NM_refseq_nelumbo_nucifera,NM_refseq_spinacia_oleracea,NM_refseq_tarenaya_hassleriana,mann_w,mann_p,mann_FDR,am_avg,nm_avg,am_freq,nm_freq,am_v_nm
OG0000017,2,1,4,0,25,2,6,18,0,19,50,27,43,2,43,1,163,2,8,7,34,3,12,4,3,0,4,0,19,19,5,0,229,149,31,153,172,132,7,8,61,12,46.5,0.000828800549217,0.01289893812514,16.4375,95.4,0.84375,1,0.172300838574423
OG0000025,41,44,10,13,30,20,6,23,4,44,32,39,14,57,15,37,75,14,42,36,71,24,40,17,14,21,16,23,41,59,99,20,17,10,4,14,19,7,17,18,5,3,269.5,0.001275149737539,0.01910065274217,32.53125,11.4,1,1,2.85361842105263
OG0000037,40,7,14,16,52,27,11,15,14,57,27,14,61,30,52,19,40,13,38,39,26,25,22,15,15,23,23,21,33,20,24,20,11,6,2,13,5,8,8,12,6,2,312,7.56119822154726E-06,0.000408333129521,26.65625,7.3,1,1,3.65154109589041
OG0000040,38,58,8,13,11,15,4,2,6,25,31,41,48,58,13,25,24,51,28,29,12,17,57,23,10,16,8,8,28,19,83,4,2,1,6,2,1,1,1,17,4,4,297,5.42369621339074E-05,0.001276189944396,25.40625,3.9,1,1,6.51442307692308
OG0000046,74,7,13,20,12,13,9,26,32,20,20,15,12,35,13,26,32,67,35,13,15,19,21,16,8,30,10,21,14,17,30,10,4,3,9,2,4,2,15,16,11,13,276,0.000634879855906,0.010235745376086,22.03125,7.9,1,1,2.78876582278481
OG0000047,32,7,33,16,4,140,7,4,3,15,11,43,18,26,3,7,31,3,86,65,3,6,21,18,12,21,40,12,39,2,29,8,1,0,2,0,0,0,2,12,1,0,305,1.90934346948293E-05,0.000741867515223,23.90625,1.8,1,0.5,13.28125
OG0000050,44,2,5,11,24,20,4,8,6,52,20,36,30,47,52,25,44,20,20,28,20,23,34,6,3,9,9,8,20,23,39,3,5,2,6,2,6,1,13,23,8,6,257.5,0.00406695380242,0.043371782755581,21.71875,7.2,1,1,3.01649305555556
OG0000052,73,25,10,15,13,20,14,5,9,19,13,21,26,43,25,31,17,16,16,23,9,16,19,13,12,20,5,29,19,8,55,25,13,16,7,9,10,14,5,7,8,5,269.5,0.001259505923997,0.018886015238227,20.75,9.4,1,1,2.20744680851064
OG0000056,85,7,8,28,20,26,3,18,0,16,10,14,21,15,30,15,44,14,37,25,25,10,8,17,14,36,22,32,14,21,7,31,0,0,6,0,0,0,15,0,6,1,299,4.08309597275888E-05,0.000967084478956,21.03125,2.8,0.96875,0.4,7.51116071428571
OG0000058,16,17,6,9,18,13,8,4,3,17,8,16,26,21,11,15,23,11,10,16,21,9,22,9,4,9,5,13,11,17,25,10,28,27,25,46,39,23,8,18,29,26,37,0.00029169251868,0.004998262906077,13.21875,26.9,1,1,0.491403345724907
OG0000085,8,6,14,4,12,14,2,6,2,50,20,26,40,20,28,12,14,7,14,26,18,8,21,23,29,4,9,7,18,16,16,4,0,0,7,0,0,0,21,9,6,1,270,0.001193741995133,0.017984377304763,15.5625,4.4,1,0.5,3.53693181818182
OG0000093,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126,98,0,91,99,70,0,0,0,2,71,0.00027081056792,0.00472397548047,0.59375,48.6,0.09375,0.6,0.0122170781893
OG0000105,24,12,15,10,26,6,8,13,1,14,17,15,22,19,10,16,17,8,13,12,19,16,15,11,7,11,7,13,12,14,8,11,5,5,5,9,8,4,11,3,3,5,290,0.000127153285231,0.002862941915906,13.1875,5.8,1,1,2.27370689655172
OG0000109,25,13,10,12,14,14,2,9,9,1,3,6,22,17,5,14,20,2,22,11,19,15,13,12,15,22,10,30,3,24,21,22,0,0,4,0,0,0,14,9,3,0,285.5,0.000214231649801,0.00409253533352,13.65625,3,1,0.4,4.55208333333333
OG0000114,26,4,9,12,5,14,6,3,9,33,23,7,15,15,29,17,12,7,6,12,8,6,39,12,7,9,11,10,8,6,16,9,6,5,9,7,6,4,7,3,6,3,269,0.001286205718701,0.019256222146049,12.65625,5.6,1,1,2.26004464285714
OG0000117,27,6,8,20,14,4,4,8,3,14,15,8,20,19,11,8,34,5,9,17,26,9,11,8,6,15,6,13,4,18,22,13,6,3,4,9,4,1,4,9,5,3,272.5,0.000903577961809,0.013964386682508,12.65625,4.8,1,1,2.63671875
OG0000127,17,5,15,7,12,9,12,8,9,9,7,16,17,18,11,18,9,6,23,12,13,12,9,11,16,8,6,8,12,11,15,9,8,6,7,6,5,4,9,17,6,5,263.5,0.00223386590103,0.025396805517277,11.5625,7.3,1,1,1.58390410958904
OG0000149,17,10,2,8,14,3,3,13,8,15,11,16,34,21,16,17,13,9,7,3,17,14,11,10,1,8,4,8,11,14,13,8,3,2,5,4,2,2,2,14,3,3,269.5,0.001229165586304,0.018469627246079,11.21875,4,1,1,2.8046875
OG0000153,13,1,9,5,21,20,2,10,4,17,5,15,12,16,12,14,19,10,15,10,7,3,6,10,5,12,6,13,11,9,26,5,5,5,4,8,5,3,8,4,2,4,265.5,0.00185971792042,0.021692933761126,10.71875,4.8,1,1,2.23307291666667
OG0000174,20,1,2,4,4,9,7,2,3,17,15,6,10,14,4,8,2,1,12,8,1,0,10,1,2,8,1,6,7,2,4,3,33,28,5,33,15,22,4,10,6,17,56,0.002168987002485,0.024757646635434,6.0625,17.3,0.96875,1,0.350433526011561
OG0000177,2,1,4,2,18,9,3,6,4,0,12,13,5,11,3,4,21,4,13,12,8,1,3,3,7,1,9,2,3,10,19,2,20,20,15,27,13,14,9,5,18,5,53.5,0.001702098953893,0.020033307228734,6.71875,14.6,0.96875,1,0.460188356164384
OG0000201,7,3,2,5,6,12,3,4,3,15,23,7,32,16,16,10,6,1,21,16,7,3,9,12,11,5,8,6,12,8,19,4,1,3,4,0,1,1,3,4,8,1,279,0.000445238554315,0.007398324849902,9.75,2.6,1,0.9,3.75
OG0000203,48,8,8,14,3,8,2,5,4,15,10,9,14,10,8,11,23,5,15,7,6,3,9,7,5,20,6,15,4,5,9,13,0,0,2,0,0,0,0,1,3,0,317.5,3.25303009748162E-06,0.00019745781772,10.28125,0.6,1,0.3,17.1354166666667
OG0000212,18,4,10,13,7,9,4,5,5,7,13,10,9,12,6,8,13,2,22,8,9,9,8,7,9,17,8,7,8,9,14,6,3,3,2,3,4,3,2,5,4,2,306.5,1.49097139705374E-05,0.000741867515223,9.25,3.1,1,1,2.98387096774194
OG0000217,15,9,4,10,5,5,6,5,1,13,6,11,11,11,10,8,10,7,12,11,7,4,13,3,9,17,7,11,7,6,13,10,6,5,1,9,5,3,6,6,1,6,256.5,0.004371260890271,0.046086724909167,8.65625,4.8,1,1,1.80338541666667
OG0000226,10,4,4,9,5,5,4,4,7,13,9,13,16,10,11,7,5,10,18,12,5,13,11,6,6,8,9,6,8,3,18,10,5,4,2,6,4,3,2,8,3,5,273.5,0.000802299457047,0.012622960419121,8.71875,4.2,1,1,2.07589285714286
OG0000229,11,4,2,8,8,6,4,7,4,5,5,9,10,7,9,8,10,9,6,9,5,4,7,6,6,9,6,7,5,5,4,7,8,8,13,21,9,10,11,4,13,10,57.5,0.002428170656969,0.027389612475347,6.625,10.7,1,1,0.619158878504673
OG0000230,9,7,6,7,8,12,1,9,5,15,5,9,11,13,11,14,13,6,9,5,13,4,10,10,7,8,12,12,8,10,12,7,2,2,3,2,2,2,6,6,3,3,300,3.57759994769894E-05,0.000853691416091,9,3.1,1,1,2.90322580645161
OG0000235,9,5,7,7,12,5,5,8,1,11,4,9,17,11,11,6,17,2,12,3,10,5,16,5,7,12,9,15,9,12,11,11,3,3,2,3,1,2,8,2,2,3,290,0.00012254380482,0.002761320401949,8.875,2.9,1,1,3.06034482758621
OG0000249,22,2,1,12,7,3,4,5,3,5,7,5,20,11,18,10,16,4,3,12,13,8,7,11,1,16,2,14,8,9,13,7,0,0,9,0,0,0,2,10,3,0,273.5,0.000817486182216,0.012841103343396,8.71875,2.4,1,0.4,3.6328125
OG0000267,13,8,1,11,10,14,1,9,0,0,1,18,23,5,10,2,25,1,20,33,4,1,6,0,3,11,4,8,5,4,23,7,0,0,0,0,0,0,3,10,0,0,277.5,0.000480993774719,0.00791916971214,8.78125,1.3,0.90625,0.2,6.75480769230769
OG0000284,11,4,1,8,14,2,1,5,1,21,3,6,22,7,11,12,5,5,7,21,15,5,5,7,4,4,2,5,5,15,15,10,1,1,0,2,1,1,7,4,0,1,282.5,0.000285589733446,0.004924965811474,8.09375,1.8,1,0.8,4.49652777777778
OG0000294,3,4,4,3,10,3,5,15,2,24,7,9,9,11,3,13,9,9,7,3,8,5,4,5,8,9,3,12,6,13,10,8,2,2,2,1,3,2,5,6,2,1,288.5,0.000144295607437,0.003223649145937,7.625,2.6,1,1,2.93269230769231
OG0000296,4,7,6,5,6,6,5,6,5,9,4,9,14,7,10,6,6,20,15,13,6,7,4,4,8,4,7,5,4,5,4,7,3,3,3,5,3,3,9,4,3,4,277.5,0.00047658835069,0.007860151156907,7.125,4,1,1,1.78125
OG0000307,14,5,3,6,9,5,4,7,4,5,7,8,10,10,8,10,10,4,6,7,7,9,8,6,4,7,5,11,8,9,10,7,1,1,6,2,1,1,6,5,5,1,285,0.000215774656551,0.00409253533352,7.28125,2.9,1,1,2.51077586206897
